,Bins,Contribution,accum,step1,step2,mapped
210,2.09,790,1.116688936,0.0349298793725,199.223053367,99.0544566345
211,2.1,701,1.10649352,0.0309947410635,199.254048108,99.065900208
212,2.11,692,1.096429001,0.0305968057289,199.284644913,99.0760545688
213,2.12,702,1.086219041,0.0310389561007,199.31568387,99.0860785597
214,2.13,676,1.076387227,0.029889365134,199.345573235,99.096247406
215,2.14,708,1.066090003,0.0313042463237,199.376877481,99.1060396284
216,2.15,648,1.056665424,0.0286513440929,199.405528825,99.1162953879
217,2.16,615,1.047720801,0.027192247866,199.432721073,99.1256820153
218,2.17,632,1.038528928,0.027943903498,199.460664976,99.1345906199
219,2.18,636,1.029278879,0.0281207636468,199.48878574,99.1437454787
220,2.19,682,1.019359801,0.030154655357,199.518940395,99.1529582796
221,2.2,681,1.009455267,0.0301104403199,199.549050836,99.1628374152
222,2.21,602,1.000699717,0.0266174523826,199.575668288,99.1727020653
223,2.22,622,0.991653285,0.0275017531262,199.603170041,99.181422358
224,2.23,609,0.982795926,0.0269269576429,199.630096999,99.1904323614
225,2.24,584,0.97430217,0.0258215817134,199.655918581,99.1992540528
226,2.25,588,0.965750238,0.0259984418621,199.681917023,99.2077136059
227,2.26,573,0.957416467,0.0253352163044,199.707252239,99.2162311011
228,2.27,636,0.948166418,0.0281207636468,199.735373002,99.2245313132
229,2.28,519,0.940618028,0.0229476042966,199.758320607,99.2337441142
230,2.29,529,0.932924198,0.0233897546684,199.781710361,99.2412621074
231,2.3,571,0.924619515,0.02524678623,199.806957148,99.2489249559
232,2.31,554,0.916562082,0.024495130598,199.831452278,99.257196197
233,2.32,523,0.908955517,0.0231244644454,199.854576743,99.265221184
234,2.33,520,0.901392583,0.0229918193338,199.877568562,99.2727971193
235,2.34,504,0.894062356,0.0222843787389,199.899852941,99.2803295981
236,2.35,514,0.886586687,0.0227265291107,199.92257947,99.2876303083
237,2.36,456,0.879954576,0.0201620569543,199.942741527,99.2950758738
238,2.37,527,0.872289834,0.0233013245941,199.966042851,99.3016812782
239,2.38,479,0.865323209,0.0211790028094,199.987221854,99.3093151557
240,2.39,564,0.857120335,0.0249372809698,200.012159135,99.3162537275
241,2.4,518,0.849586489,0.0229033892595,200.035062524,99.3244235698
242,2.41,521,0.842009012,0.023036034371,200.058098559,99.3319270775
243,2.42,429,0.835769592,0.0189682509504,200.07706681,99.3394740418
244,2.43,498,0.828526629,0.0220190885159,200.099085898,99.3456883367
245,2.44,447,0.822025415,0.0197641216196,200.11885002,99.3529021337
