Bins,Contribution,accum
-5.18,8,99.43221235
-5.17,6,99.43185863
-5.16,0,99.43159334
-5.15,22,99.43159334
-5.14,4,99.43062061
-5.13,1,99.43044375
-5.12,3,99.43039953
-5.11,13,99.43026689
-5.10,1,99.42969209
-5.09,23,99.42964788
-5.08,0,99.42863093
-5.07,7,99.42863093
-5.06,0,99.42832142
-5.05,7,99.42832142
-5.04,3,99.42801192
-5.03,3,99.42787927
-5.02,7,99.42774663
-5.01,4,99.42743712
-5.00,6,99.42726026
-4.99,7,99.42699497
-4.98,6,99.42668547
-4.97,8,99.42642018
-4.96,7,99.42606646
-4.95,2,99.42575695
-4.94,9,99.42566852
-4.93,7,99.42527059
-4.92,6,99.42496108
-4.91,2,99.42469579
-4.90,11,99.42460736
-4.89,21,99.42412099
-4.88,2,99.42319248
-4.87,10,99.42310405
-4.86,4,99.4226619
-4.85,0,99.42248504
-4.84,7,99.42248504
-4.83,3,99.42217553
-4.82,13,99.42204289
-4.81,10,99.42146809
-4.80,4,99.42102594
-4.79,2,99.42084908
-4.78,6,99.42076065
-4.77,2,99.42049536
-4.76,12,99.42040693
-4.75,4,99.41987635
-4.74,2,99.41969949
-4.73,3,99.41961106
-4.72,4,99.41947841
-4.71,11,99.41930155
-4.70,6,99.41881519
-4.69,3,99.4185499
-4.68,10,99.41841725
-4.67,3,99.4179751
-4.66,11,99.41784246
-4.65,7,99.41735609
-4.64,7,99.41704658
-4.63,2,99.41673708
-4.62,7,99.41664865
-4.61,8,99.41633914
-4.60,0,99.41598542
-4.59,6,99.41598542
-4.58,5,99.41572013
-4.57,17,99.41549906
-4.56,11,99.4147474
-4.55,7,99.41426104
-4.54,11,99.41395153
-4.53,37,99.41346516
-4.52,5,99.41182921
-4.51,8,99.41160813
-4.50,6,99.41125441
-4.49,8,99.41098912
-4.48,11,99.4106354
-4.47,15,99.41014904
-4.46,6,99.40948581
-4.45,9,99.40922052
-4.44,11,99.40882258
-4.43,6,99.40833622
-4.42,10,99.40807093
-4.41,11,99.40762878
-4.40,7,99.40714241
-4.39,2,99.40683291
-4.38,3,99.40674448
-4.37,5,99.40661183
-4.36,9,99.40639076
